"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.98","119.57","124.17","117.94","119.07","125.99","124.98","126.43","126.74","125.84","",
"Africa Eastern and Southern","AFE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.005","1.49","2.92","3.65","4.35","5.455","5.57","4.76","5.25","6.735","7.625","9.69","9.16","10.25","9.985","10.265","9.905","",
"Afghanistan","AFG","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.06","0.12","0.21","0.3","0.45","0.53","0.62","0.64","0.71","0.75","0.92","1.06","1.21","1.61","1.64","","",
"Africa Western and Central","AFW","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","1.54","1.92","2.63","3.39","4.265","4.52","4.6","4.98","4.88","4.81","5.58","6.12","",
"Angola","AGO","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","1.45","3.04","4.4","6.24","8.34","10.42","12.72","15.19","16.99","18.19","18.82","19.06","19.13","18.92","18.4","","",
"Albania","ALB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23","9.26","13.87","19.37","28.63","32.94","34.13","35.29","35.74","35.43","34.75","35.26","34.08","31.71","30.64","29.99","31.42","",
"Andorra","AND","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","6.545","9.52","14.11","13.78","15.995","19.66","18.92","20.435","23.14","24.5","24.12","26.775","27.355","28.6","30.395","32.205","",
"United Arab Emirates","ARE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.29","42.06","38.21","39.32","40.36","52.65","50.61","53.86","56.86","58.78","61.12","64.38","65.42","65.37","64.48","60.91","52.49","",
"Argentina","ARG","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.87","2.1","2.88","4.96","9.99","13.86","19.29","27.05","34.53","43.34","45.67","47.51","50.35","53.12","58.98","60.75","62.45","",
