"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.6470588235294","71.7142857142857","66.8333333333333","60.125","54.5","47.8333333333333","46.5833333333333","43.7916666666667","37.4583333333333","35.46","33.18","32.38","32.0961538461538","31.6346153846154","29.3269230769231","27.8461538461538","26.8461538461538","","",
"Afghanistan","AFG","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","11","11","10","10","10","10","7","9","9","9","9","9","9","","",
"Africa Western and Central","AFW","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4666666666667","43.8666666666667","59.6","59.9047619047619","55.9047619047619","55.0476190476191","50.9047619047619","49.9047619047619","37.7142857142857","35.8571428571429","29.4227272727273","25.5136363636364","25.2636363636364","24.2918181818182","17.9963636363636","17.8372727272727","15.3513636363636","","",
"Angola","AGO","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","83","83","68","68","66","66","66","66","66","36","36","36","36","36","","",
"Albania","ALB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","40","41","39","37","10","6","6","6","5","5","5","5","5","5","4.5","4.5","","",
"Andorra","AND","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9615384615385","42.65625","40.0833333333333","38.8611111111111","32.575","22.675","22.025","22.05","21.5","22.2380952380952","21","20","22.5681818181818","23.6818181818182","21.9318181818182","21.0454545454545","20","","",
"United Arab Emirates","ARE","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","19","19","16","16","14","9","9","9","9","9","9","4.5","4.5","","",
"Argentina","ARG","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","29.5","29.5","29.5","29.5","30","25","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","11","11.5","","",
"Armenia","ARM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","17","17","17","14","14","8","8","5","5","5","5","5","4","4","","",
"American Samoa","ASM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","22","22","22","22","22","22","22","22","22","22","22","22","22","19","","",
"Australia","AUS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2","","",
"Austria","AUT","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","25","25","25","25","25","25","25","25","22","22","21","21","21","21","","",
"Azerbaijan","AZE","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","121","113","51","36","10","10","8","8","8","7","5.5","3.5","3.5","3.5","3.5","3.5","","",
"Burundi","BDI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","13","13","13","13","13","13","7","5","5","4","4","4","5","5","","",
"Belgium","BEL","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","34","34","27","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","5","","",
"Benin","BEN","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","35","35","35","35","35","35","35","33","30","19","13","13","9","9","9","9","","",
"Burkina Faso","BFA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","34","18","16","14","14","13","13","13","13","13","13","13","13","13","","",
"Bangladesh","BGD","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.84","19.5","19.5","19.5","19.5","19.5","19.5","","",
"Bulgaria","BGR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","39","39","56","25","25","25","25","25","25","25","23","23","23","23","","",
"Bahrain","BHR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","9","9","9","9","","",
"Bahamas, The","BHS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5","30.5","30.5","23.5","23.5","23.5","23.5","23.5","28.5","21.5","21.5","21.5","11.5","","",
"Bosnia and Herzegovina","BIH","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","63","93","93","93","99","99","109","85","82","82","82","82","80","80","80","80","","",
"Belarus","BLR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80","80","70","49","32","13","13","13","13","12","12","9","9","9","9","8.5","","",
"Belize","BLZ","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","44","43","43","43","43","43","43","43","43","43","43","48","48","48","","",
"Bermuda","BMU","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","59","49","49","49","49","49","49","49","49","49","49","49","45","41","39.5","39.5","","",
