Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017
Aruba,ABW,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707,56.707
Africa Eastern and Southern,AFE,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344,64.667627399344
Afghanistan,AFG,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75
Africa Western and Central,AFW,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227,53.9806664573227
Angola,AGO,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161,35.161
Albania,ALB,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617,40.617
Andorra,AND,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85
Arab World,ARB,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594,41.3576776470594
United Arab Emirates,ARE,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752,13.752
Argentina,ARG,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251,8.251
Armenia,ARM,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897,36.897
American Samoa,ASM,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83
Antigua and Barbuda,ATG,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287,75.287
Australia,AUS,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096,14.096
Austria,AUT,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906,41.906
Azerbaijan,AZE,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657,44.657
Burundi,BDI,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294,87.294
Belgium,BEL,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039
Benin,BEN,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232,53.232
Burkina Faso,BFA,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257,71.257
Bangladesh,BGD,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142,64.142
Bulgaria,BGR,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331,25.331
Bahrain,BHR,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814
"Bahamas, The",BHS,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075,17.075
Bosnia and Herzegovina,BIH,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124,52.124
Belarus,BLR,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866
Belize,BLZ,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399,54.399
Bermuda,BMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
