Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017,HDI
Afghanistan,AFG,74.75,99.1699981689453,58.0675795729559,11.7927273841252,-314602.0,0.1,638.0,64.8,189.0,74.75,19.21,,0.131694555645599,56.9108083545081,51533896.765,1.21,68.957,20.886999130249,72.1829986572266,4.633,66.0,23.0,65.92913406,43.4481809910709,0.945226799939516,27.710843373494,8.0,9.0,,91.89,55.5955503477009,0.509
Angola,AGO,35.161,103.419998168945,45.2373706585385,3.93037619314992,32066.0,1.9,241.0,80.6,359.0,35.161,56.25,,0.813300730203195,32.3885049076425,-7397295409.18991,19.13,150.526,74.9120025634766,79.7559967041016,5.6,56.0,15.4,44.68610714,10.7992921701208,2.50798545587522,30.4545454545455,36.0,36.0,,55.5,23.9165549049491,0.582
Albania,ALB,40.617,103.980003356934,42.6708394160584,22.1496350364964,-69998.0,0.1,15.0,9.4,20.0,40.617,37.07,,1.78878607422544,18.2006025215914,1022757857.07377,31.71,19.642,49.5099983215332,66.4400024414063,1.638,99.0,4.1,125.7103519,443.020375805171,1.10869638590383,27.8571428571429,5.0,5.0,16.0,149.54,104.870693430657,0.792
Andorra,AND,11.85,,40.0425531914894,1.74468085106383,,,,3.0,1.5,11.85,19.15,,6.10413391181354,10.3076213949548,,,,,,,99.0,,104.3324113,3415.71749548684,,32.1428571428571,,,,2.01,163.823404255319,0.867
United Arab Emirates,ARE,13.752,104.180000305176,5.40411151788229,0.626584060827936,200000.0,0.1,3.0,7.2,0.8,13.752,0.19,,20.7690223324057,40.9175098248731,10354223000.0,65.37,6.546,51.9469985961914,91.5589981079102,1.448,97.0,3.2,208.9785999,1285.09911137167,,22.5,8.0,9.0,63.0,2899.67,133.584990143622,0.889
Argentina,ARG,8.251,105.940002441406,54.3357121193851,14.3238729998648,24000.0,0.4,39.0,10.3,27.0,8.251,10.37,,4.07130836193664,13.311833946835,11516861462.2845,53.12,62.782,47.8440017700195,70.6740036010742,2.275,86.0,3.1,140.8771235,1628.59139070889,0.856137916373543,38.1322957198444,24.5,24.5,393.0,8704.3,16.0941907925267,0.842
Armenia,ARM,36.897,94.4100036621094,58.872497365648,15.6656129258869,-24989.0,0.2,26.0,12.7,36.0,36.897,12.56,,1.82356015509399,32.5281183420597,250935110.239139,63.74,21.49,46.890998840332,65.6809997558594,1.75,94.0,3.1,118.4642306,271.32674021806,3.84973057654684,18.0952380952381,5.0,5.0,107.0,511.24,103.434808570425,0.771
Antigua and Barbuda,ATG,75.287,101.589996337891,20.4545454545455,9.09090909090909,0.0,,42.0,7.1,1.2,75.287,0.6,,5.23971705527901,18.6223428464755,151271628.230867,66.03,42.782,,,1.999,95.0,,192.819567,890.751899397433,,11.1111111111111,22.0,22.0,,5.2,216.875,0.772
Australia,AUS,14.096,104.040000915527,48.3406179391109,3.99790952181612,791229.0,0.1,6.0,3.8,6.7,14.096,9.69,,15.818316324949,8.55032440147794,48198614234.959,160.32,11.715,59.8139991760254,70.6470031738281,1.741,95.0,2.5,108.4417819,21544.7937676257,1.99757726645313,28.6666666666667,2.5,2.5,2503.0,53428.79,3.19836141871706,0.943
Austria,AUT,41.906,98.5199966430664,32.1694134755211,16.1044595249636,324998.0,,5.0,3.6,7.3,41.906,33.98,,7.4861615826868,12.4779667308248,13518864836.285,165.04,7.34,55.9109992980957,66.8109970092773,1.52,90.0,2.5,123.1192958,7431.71463561626,0.757321291425713,34.4262295081967,21.0,21.0,2073.0,12850.61,106.61131846825,0.921
